ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
EDDF,ARR,2025-01-01,377,1,3617.833333333336,3131.526666666666,486.3066666666665
EDDF,ARR,2025-01-02,488,0,5092.616666666655,4237.14333333333,855.473333333334
EDDF,ARR,2025-01-03,522,1,5237.116666666672,4351.170000000003,885.9466666666669
EDDF,ARR,2025-01-04,505,1,5114.98333333334,4123.403333333334,991.58
EDDF,ARR,2025-01-05,453,17,5624.033333333335,3811.536666666666,1812.496666666668
EDDF,ARR,2025-01-06,513,3,5309.150000000005,4388.156666666667,920.9933333333328
EDDF,ARR,2025-01-07,494,1,4799.166666666667,4105.389999999997,693.7766666666674
EDDF,ARR,2025-01-08,494,2,5031.3499999999995,4093.210000000001,938.1399999999988
EDDF,ARR,2025-01-09,515,0,5038.483333333332,4463.2266666666665,575.2566666666663
EDDF,ARR,2025-01-10,530,1,5025.033333333334,4369.4800000000005,655.5533333333328
EDDF,ARR,2025-01-11,499,0,4659.9166666666715,4010.3133333333353,649.6033333333332
EDDF,ARR,2025-01-12,531,3,4848.400000000002,4162.399999999998,686.0000000000003
EDDF,ARR,2025-01-13,510,0,4629.066666666672,3779.1933333333327,849.873333333333
EDDF,ARR,2025-01-14,466,0,4234.500000000004,3545.9866666666667,688.5133333333339
EDDF,ARR,2025-01-15,513,4,5000.683333333332,4194.306666666664,806.376666666667
EDDF,ARR,2025-01-16,488,0,4281.5499999999975,3658.829999999998,622.7200000000007
EDDF,ARR,2025-01-17,534,0,4809.516666666672,4001.5099999999984,808.0066666666661
EDDF,ARR,2025-01-18,473,4,4032.049999999996,3517.596666666662,514.4533333333335
EDDF,ARR,2025-01-19,521,1,4709.033333333333,3922.320000000004,786.7133333333327
EDDF,ARR,2025-01-20,497,1,5377.066666666675,4428.723333333335,948.3433333333328
EDDF,ARR,2025-01-21,457,1,4931.6833333333325,3994.87,936.8133333333328
EDDF,ARR,2025-01-22,498,1,4647.53333333333,3937.0866666666625,710.4466666666669
EDDF,ARR,2025-01-23,505,0,4620.600000000002,4029.263333333331,591.3366666666668
EDDF,ARR,2025-01-24,515,1,4847.616666666667,4093.8633333333305,753.7533333333334
EDDF,ARR,2025-01-25,474,0,4462.383333333336,3740.749999999999,721.6333333333333
EDDF,ARR,2025-01-26,532,1,5050.883333333336,4258.019999999999,792.8633333333335
EDDF,ARR,2025-01-27,502,0,4715.3,4047.8466666666664,667.4533333333337
EDDF,ARR,2025-01-28,475,0,4405.266666666669,3754.2933333333344,650.9733333333342
EDDF,ARR,2025-01-29,491,2,4544.416666666664,3884.563333333332,659.8533333333327
EDDF,ARR,2025-01-30,483,0,4388.1333333333305,3679.363333333333,708.7700000000001
EDDF,ARR,2025-01-31,531,0,4956.8333333333385,4177.87333333333,778.9599999999997
EDDF,ARR,2025-02-01,484,2,4404.066666666665,3562.7099999999978,841.3566666666667
EDDF,ARR,2025-02-02,528,1,4545.583333333338,3863.903333333333,681.6800000000003
EDDF,ARR,2025-02-03,510,3,5084.916666666668,4369.446666666667,715.470000000001
EDDF,ARR,2025-02-04,476,6,4799.883333333336,4107.483333333333,692.3999999999991
EDDF,ARR,2025-02-05,504,1,4893.766666666667,4259.583333333334,634.1833333333329
EDDF,ARR,2025-02-06,503,2,4309.733333333337,3761.379999999994,548.3533333333332
EDDF,ARR,2025-02-07,536,3,4633.55,4012.879999999998,620.67
EDDF,ARR,2025-02-08,480,1,4087.0166666666714,3547.296666666667,539.72
EDDF,ARR,2025-02-09,551,3,4720.466666666669,4062.966666666666,657.5000000000003
EDDF,ARR,2025-02-10,527,0,4664.166666666666,3901.0166666666632,763.1499999999993
EDDF,ARR,2025-02-11,521,0,4888.533333333338,4272.136666666667,616.3966666666671
EDDF,ARR,2025-02-12,555,0,5133.466666666662,4328.1933333333345,805.2733333333337
