ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
EDDF,ARR,2023-01-01,379,2,3476.233333333336,2869.713333333332,606.5200000000001
EDDF,ARR,2023-01-02,491,1,4611.583333333328,3936.9100000000026,674.6733333333331
EDDF,ARR,2023-01-03,464,3,4267.716666666662,3639.6699999999983,628.0466666666667
EDDF,ARR,2023-01-04,476,6,4583.683333333331,4045.1366666666695,538.5466666666672
EDDF,ARR,2023-01-05,495,2,4483.6166666666695,3959.6799999999985,523.9366666666667
EDDF,ARR,2023-01-06,512,0,4737.816666666664,4103.246666666664,634.57
EDDF,ARR,2023-01-07,515,2,4799.683333333335,4033.5333333333338,766.1499999999996
EDDF,ARR,2023-01-08,529,5,5233.466666666673,4344.746666666669,888.7199999999995
EDDF,ARR,2023-01-09,508,3,4744.150000000003,4041.92,702.2300000000004
EDDF,ARR,2023-01-10,467,5,4383.3833333333305,3675.126666666667,708.2566666666669
EDDF,ARR,2023-01-11,471,7,4441.316666666667,3817.5699999999993,623.7466666666671
EDDF,ARR,2023-01-12,483,3,4878.316666666667,4003.6533333333336,874.6633333333328
EDDF,ARR,2023-01-13,492,1,4704.25,3923.293333333336,780.9566666666666
EDDF,ARR,2023-01-14,495,5,4817.149999999999,4077.093333333333,740.0566666666665
EDDF,ARR,2023-01-15,503,2,4994.016666666669,4148.266666666662,845.7499999999997
EDDF,ARR,2023-01-16,495,4,4874.366666666662,4100.416666666667,773.9499999999997
EDDF,ARR,2023-01-17,443,6,3919.983333333338,3431.836666666669,488.1466666666666
EDDF,ARR,2023-01-18,461,5,4087.6666666666665,3574.620000000003,513.0466666666664
EDDF,ARR,2023-01-19,477,5,4769.116666666667,3945.043333333333,824.0733333333332
EDDF,ARR,2023-01-20,482,4,5692.133333333332,4015.8933333333366,1676.2399999999975
EDDF,ARR,2023-01-21,433,15,6238.133333333335,3256.533333333334,2981.600000000001
EDDF,ARR,2023-01-22,481,5,4337.78333333333,3559.1333333333328,778.65
EDDF,ARR,2023-01-23,463,5,4044.4500000000025,3506.7266666666665,537.7233333333332
