ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EGLL,2024-01-22,ARR,604,0,1,5,1,4,7,4,17,19,24,45,64,78,51,57,59,38,40,25,12,11,7,5,4,2,24
EGLL,2024-01-22,DEP,605,0,0,0,0,0,0,0,0,0,6,28,85,130,116,51,53,37,30,17,10,11,5,3,6,2,15
EGLL,2024-01-23,ARR,584,0,0,3,4,5,7,12,12,18,37,51,61,75,74,41,47,32,15,20,11,13,9,7,8,4,18
EGLL,2024-01-23,DEP,580,0,0,0,0,0,0,0,0,2,4,46,122,148,82,42,40,20,19,9,12,5,4,8,2,4,11
EGLL,2024-01-24,ARR,583,1,0,1,7,4,6,13,29,24,42,32,52,64,52,35,30,34,34,22,28,16,7,15,6,7,22
EGLL,2024-01-24,DEP,588,0,0,0,0,0,0,0,0,0,8,36,97,156,104,42,39,19,22,14,9,9,9,5,3,2,14
EGLL,2024-01-25,ARR,605,1,0,0,2,5,10,7,14,37,56,65,76,49,51,40,35,23,41,17,15,15,6,5,5,2,28
EGLL,2024-01-25,DEP,608,0,0,0,0,0,0,0,0,3,6,44,110,150,94,52,42,22,20,15,10,8,4,4,3,1,20
EGLL,2024-01-26,ARR,605,0,0,1,3,5,6,11,23,25,52,56,71,68,51,35,34,32,24,20,18,11,12,6,10,7,24
EGLL,2024-01-26,DEP,607,0,0,0,0,0,0,0,0,0,5,50,100,173,95,33,40,29,16,14,11,9,6,6,4,4,12
EGLL,2024-01-27,ARR,561,0,0,0,3,3,12,14,20,46,47,68,63,56,47,31,34,20,13,12,11,16,11,6,3,4,21
EGLL,2024-01-27,DEP,560,0,0,0,0,0,0,1,0,1,14,36,93,141,83,46,41,25,17,9,15,10,4,5,0,4,15
EGLL,2024-01-28,ARR,616,0,1,1,2,4,10,10,37,48,84,89,82,71,50,24,29,16,11,10,6,3,6,3,1,2,16
EGLL,2024-01-28,DEP,615,0,0,0,0,0,0,0,1,1,12,51,150,164,100,35,24,19,17,8,6,5,4,2,0,1,15
EGLL,2024-01-29,ARR,623,0,0,0,1,1,7,12,24,56,82,96,88,65,62,27,23,23,11,7,5,5,7,1,3,1,16
EGLL,2024-01-29,DEP,619,0,0,0,0,0,0,0,1,1,7,75,153,159,92,39,31,18,13,3,5,6,2,1,0,1,12
EGLL,2024-01-30,ARR,592,0,1,3,4,3,8,22,38,70,97,89,80,41,47,18,13,12,8,8,4,3,7,1,2,1,12
EGLL,2024-01-30,DEP,596,0,0,0,0,0,0,0,0,0,19,70,162,149,87,34,21,14,11,9,6,1,1,2,1,3,6
EGLL,2024-01-31,ARR,597,1,1,1,0,8,18,19,24,51,85,82,83,63,44,17,31,15,10,8,9,4,4,1,1,3,14
EGLL,2024-01-31,DEP,596,0,0,0,0,0,0,0,0,0,3,52,130,161,95,47,46,13,9,9,8,0,4,1,1,1,16
EGLL,2024-02-01,ARR,599,0,0,1,0,5,7,12,30,36,69,74,85,82,56,39,31,25,8,6,3,2,2,4,3,2,17
EGLL,2024-02-01,DEP,601,0,0,0,0,0,0,0,0,3,7,29,130,160,110,42,36,18,18,15,10,6,2,3,2,1,9
EGLL,2024-02-02,ARR,624,0,1,0,0,2,2,9,12,17,49,67,71,87,75,48,56,29,27,17,9,7,7,10,1,3,18
EGLL,2024-02-02,DEP,626,0,0,0,0,0,0,0,0,1,8,31,83,140,120,57,54,38,23,22,8,11,5,4,5,4,12
EGLL,2024-02-03,ARR,584,0,0,0,2,3,9,12,21,33,31,65,66,75,48,43,43,25,21,16,18,12,13,4,3,5,16
EGLL,2024-02-03,DEP,585,0,0,0,0,0,1,0,1,3,8,37,110,147,89,38,56,20,12,17,7,7,4,7,4,1,16
EGLL,2024-02-04,ARR,636,0,0,0,1,2,3,6,10,12,34,55,58,62,52,50,66,46,34,22,36,14,13,7,10,7,36
EGLL,2024-02-04,DEP,630,1,0,0,0,0,0,0,0,1,2,28,80,137,112,66,48,37,32,21,15,8,5,4,4,2,27
EGLL,2024-02-05,ARR,640,0,1,0,0,0,0,0,2,6,10,19,25,48,52,52,73,76,76,51,29,15,17,20,13,11,44
EGLL,2024-02-05,DEP,645,0,0,0,0,0,0,0,0,0,3,14,72,119,108,69,77,43,36,22,24,10,8,6,6,8,20
EGLL,2024-02-06,ARR,612,0,0,0,1,2,4,6,4,9,18,29,47,55,54,51,64,43,43,42,40,24,20,15,8,6,27
EGLL,2024-02-06,DEP,603,0,0,0,0,0,0,0,0,1,5,24,86,151,111,33,51,36,29,12,12,13,7,9,3,3,17
EGLL,2024-02-07,ARR,593,0,1,0,2,6,5,6,12,28,39,64,77,93,55,32,48,22,23,16,13,10,6,3,5,3,24
EGLL,2024-02-07,DEP,595,0,0,0,0,0,0,0,0,0,7,34,105,145,95,48,43,32,21,15,8,5,5,5,2,6,19
EGLL,2024-02-08,ARR,604,0,0,0,0,0,2,5,3,6,10,14,18,26,24,32,27,36,39,47,38,32,35,37,28,23,122
EGLL,2024-02-08,DEP,611,0,0,0,0,0,1,0,0,0,2,8,34,49,59,48,61,41,36,36,34,26,19,28,22,14,93
EGLL,2024-02-09,ARR,640,0,1,1,0,1,2,4,4,20,40,62,72,70,70,52,64,35,36,21,13,12,10,10,3,3,34
