YEAR,PHASE,MVTS_VALID,MVTS_NA,MVTS_TOTAL,TOT_TXXT,TOT_REF,TOT_ADD_TIME,AVG_TXXT,AVG_REF,AVG_ADD_TIME
2023,ARR,566549,146261,712810,3071226.633333334,2156509.0333333327,914717.5999999981,5.420937347578645,3.806394563106338,1.6145427844723017
2024,ARR,576366,133200,709566,3340746.083333343,2287549.0799999977,1053197.0033333378,5.796223377738005,3.968917458698115,1.827305919039877
2025,ARR,614985,123943,738928,3657466.0333333397,2468296.0466666655,1189169.9866666694,5.947244295931347,4.013587399150655,1.9336568967806846
2023,DEP,559752,146694,706446,8190828.533333331,6174190.886666668,2016637.646666674,14.63295983459341,11.030225683278788,3.602734151314643
2024,DEP,574677,127491,702168,8485015.200000005,6472033.263333355,2012981.9366666616,14.76484216351099,11.262036349694446,3.5028058138165643
2025,DEP,610306,121672,731978,8597916.600000015,6884559.839999976,1713356.7599999965,14.087878211913392,11.280504927036562,2.807373284876761
