ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBAR,2025-01-01,ARR,6,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-01,DEP,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SBAR,2025-01-02,ARR,17,0,0,0,0,0,0,0,0,1,2,4,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0
SBAR,2025-01-02,DEP,17,0,0,0,0,0,0,0,0,0,1,5,6,0,2,0,2,0,0,1,0,0,0,0,0,0,0
SBAR,2025-01-03,ARR,17,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,2,2,1,1,1,0,0,0,0,0,0
SBAR,2025-01-03,DEP,17,0,0,0,0,0,0,0,0,0,1,3,3,5,3,0,0,0,1,0,1,0,0,0,0,0,0
SBAR,2025-01-04,ARR,18,0,0,0,0,0,0,0,2,0,2,5,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0
SBAR,2025-01-04,DEP,18,0,0,0,0,0,0,0,0,0,1,6,3,2,2,1,1,0,1,0,1,0,0,0,0,0,0
SBAR,2025-01-05,ARR,15,0,0,0,0,0,0,0,0,1,3,3,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-05,DEP,16,0,0,0,0,0,0,0,0,0,0,3,7,3,1,0,0,0,0,1,0,0,0,0,0,0,1
SBAR,2025-01-06,ARR,17,0,0,0,0,0,0,0,1,0,0,3,5,2,0,4,0,0,1,0,0,0,0,0,0,0,1
SBAR,2025-01-06,DEP,17,0,0,0,0,0,0,0,0,0,0,3,3,7,2,0,1,0,0,0,0,0,0,0,0,0,1
