ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
SBBR,ARR,2024-01-01,110,10,659.4833333333339,526.5766666666667,132.90666666666664
SBBR,ARR,2024-01-02,143,31,996.8333333333333,599.9000000000003,396.9333333333333
SBBR,ARR,2024-01-03,155,29,1192.9166666666667,754.2366666666668,438.68000000000006
SBBR,ARR,2024-01-04,140,32,973.4499999999996,755.52,217.93000000000006
SBBR,ARR,2024-01-05,148,33,955.933333333333,806.1333333333334,149.79999999999998
SBBR,ARR,2024-01-06,133,33,949.8499999999998,701.7433333333331,248.10666666666663
SBBR,ARR,2024-01-07,131,33,976.4833333333333,651.13,325.3533333333332
SBBR,ARR,2024-01-08,151,48,1079.9333333333334,747.5633333333333,332.3699999999999
SBBR,ARR,2024-01-09,149,60,883.916666666667,685.4833333333335,198.4333333333333
SBBR,ARR,2024-01-10,153,45,1016.9499999999999,717.6700000000002,299.28
SBBR,ARR,2024-01-11,143,39,942.6833333333333,729.5866666666661,213.09666666666675
SBBR,ARR,2024-01-12,147,46,854.1166666666668,670.5233333333331,183.59333333333325
SBBR,ARR,2024-01-13,129,28,757.4499999999999,580.7000000000002,176.75
SBBR,ARR,2024-01-14,129,33,796.6499999999999,646.376666666667,150.27333333333334
SBBR,ARR,2024-01-15,146,47,863.4499999999997,697.4033333333334,166.04666666666665
SBBR,ARR,2024-01-16,154,47,1007.5666666666671,729.4266666666666,278.14000000000004
SBBR,ARR,2024-01-17,142,44,858.5166666666663,728.3966666666668,130.12000000000003
SBBR,ARR,2024-01-18,154,52,973.6333333333338,719.8233333333335,253.80999999999995
SBBR,ARR,2024-01-19,143,43,925.4166666666667,742.3966666666666,183.01999999999995
SBBR,ARR,2024-01-20,133,21,757.7500000000002,607.5033333333336,150.2466666666666
SBBR,ARR,2024-01-21,130,20,860.5666666666663,694.36,166.2066666666667
SBBR,ARR,2024-01-22,144,56,905.5666666666666,742.2366666666663,163.33000000000004
SBBR,ARR,2024-01-23,150,52,946.1500000000004,781.36,164.78999999999996
SBBR,ARR,2024-01-24,149,62,964.9166666666663,810.1066666666665,154.81000000000006
SBBR,ARR,2024-01-25,146,58,917.3333333333333,769.6766666666664,147.65666666666664
SBBR,ARR,2024-01-26,146,41,868.2833333333331,645.7133333333336,222.57000000000002
SBBR,ARR,2024-01-27,137,22,779.5999999999997,615.8899999999996,163.70999999999998
SBBR,ARR,2024-01-28,132,23,835.4999999999997,697.7233333333334,137.77666666666676
SBBR,ARR,2024-01-29,148,38,971.8166666666668,799.9033333333329,171.91333333333336
SBBR,ARR,2024-01-30,147,68,930.9833333333338,764.293333333333,166.68999999999997
SBBR,ARR,2024-01-31,142,57,852.2000000000002,621.3066666666668,230.89333333333335
SBBR,ARR,2024-02-01,144,70,813.416666666667,634.5333333333334,178.88333333333327
SBBR,ARR,2024-02-02,143,49,820.4666666666664,653.9166666666672,166.54999999999998
SBBR,ARR,2024-02-03,132,28,740.5333333333333,573.0966666666668,167.43666666666675
SBBR,ARR,2024-02-04,130,37,715.8000000000001,558.6900000000002,157.10999999999999
SBBR,ARR,2024-02-05,152,60,922.05,698.3833333333337,223.6666666666666
SBBR,ARR,2024-02-06,151,67,958.2500000000001,690.3700000000002,267.88
SBBR,ARR,2024-02-07,150,73,969.4166666666664,721.6366666666668,247.7799999999999
SBBR,ARR,2024-02-08,144,59,947.9333333333338,727.7866666666669,220.14666666666668
SBBR,ARR,2024-02-09,156,40,942.2666666666662,685.7633333333333,256.50333333333316
SBBR,ARR,2024-02-10,127,23,730.5833333333334,559.0500000000001,171.53333333333327
SBBR,ARR,2024-02-11,91,19,517.9833333333333,395.97999999999996,122.00333333333337
SBBR,ARR,2024-02-12,105,16,588.55,453.8533333333334,134.69666666666666
SBBR,ARR,2024-02-13,113,37,640.0666666666668,503.16666666666674,136.9
SBBR,ARR,2024-02-14,132,43,723.7666666666668,564.4599999999998,159.30666666666662
SBBR,ARR,2024-02-15,138,39,741.0666666666668,613.2033333333335,127.86333333333332
SBBR,ARR,2024-02-16,145,37,940.2,705.1933333333329,235.0066666666668
SBBR,ARR,2024-02-17,131,24,773.483333333333,640.6899999999999,132.79333333333324
SBBR,ARR,2024-02-18,119,27,816.6166666666664,626.0333333333331,190.58333333333337
SBBR,ARR,2024-02-19,161,64,1098.7166666666672,848.57,250.14666666666673
SBBR,ARR,2024-02-20,160,64,1144.2833333333333,878.1966666666665,266.0866666666667
SBBR,ARR,2024-02-21,150,69,845.4833333333329,649.1399999999996,196.3433333333333
SBBR,ARR,2024-02-22,154,69,1009.4666666666669,790.7466666666663,218.71999999999997
SBBR,ARR,2024-02-23,156,54,989.6833333333337,751.5266666666668,238.1566666666667
SBBR,ARR,2024-02-24,128,33,693.0666666666671,541.8200000000003,151.24666666666667
SBBR,ARR,2024-02-25,122,29,693.483333333333,516.7366666666671,176.74666666666667
SBBR,ARR,2024-02-26,154,51,850.0499999999997,665.2366666666663,184.8133333333334
SBBR,ARR,2024-02-27,154,69,931.9833333333331,652.9966666666664,278.98666666666674
SBBR,ARR,2024-02-28,151,75,809.1000000000001,639.9400000000002,169.15999999999997
SBBR,ARR,2024-02-29,154,67,992.2166666666668,744.1866666666671,248.02999999999992
SBBR,ARR,2024-03-01,161,71,1065.2833333333333,854.9399999999999,210.34333333333336
SBBR,ARR,2024-03-02,128,38,808.8166666666668,650.1966666666668,158.62
SBBR,ARR,2024-03-03,121,34,743.1666666666667,588.1166666666667,155.05
SBBR,ARR,2024-03-04,153,59,1022.7333333333339,747.1633333333331,275.5699999999999
SBBR,ARR,2024-03-05,155,66,907.2166666666669,666.8500000000004,240.36666666666665
SBBR,ARR,2024-03-06,155,78,1049.2500000000005,741.33,307.91999999999996
SBBR,ARR,2024-03-07,153,63,867.7166666666664,661.6466666666669,206.0699999999999
SBBR,ARR,2024-03-08,156,59,867.3166666666663,661.9733333333335,205.34333333333328
SBBR,ARR,2024-03-09,132,44,699.5500000000004,566.9766666666667,132.5733333333334
SBBR,ARR,2024-03-10,123,33,830.4499999999997,654.0333333333333,176.41666666666663
SBBR,ARR,2024-03-11,152,43,1066.1833333333325,792.2599999999995,273.92333333333323
SBBR,ARR,2024-03-12,163,70,1061.3999999999999,770.4033333333332,290.99666666666656
SBBR,ARR,2024-03-13,155,88,939.3499999999999,680.62,258.7299999999999
